taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
31685,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Cameraria,Cameraria microphylla,Britton,,,,EN,
31686,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Tabernaemontana,Tabernaemontana apoda,C.Wright,,,,EN,Huevo-de-gallo
31687,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Psychotria,Psychotria cathetoneura,Urb.,,,,EN,
31688,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BORAGINALES,CORDIACEAE,Cordia,Cordia valenzuelana,A.Rich.,,,,EN,Ateje hembra
31689,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BIGNONIACEAE,Catalpa,Catalpa brevipes,Urb.,,,,VU,
31690,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,SCHLEGELIACEAE,Synapsis,Synapsis ilicifolia,Griseb.,,,,CR,Chicharrón
31691,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BIGNONIACEAE,Tabebuia,Tabebuia anafensis,Urban,,,,VU,
31694,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BIGNONIACEAE,Tabebuia,Tabebuia jackiana,Ekman ex Urb.,,,,LC,
31698,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LAMIACEAE,Vitex,Vitex acunae,Borhidi &amp; O.Muñiz,,,,VU,
31699,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,JUGLANDACEAE,Juglans,Juglans insularis,Griseb.,,,,VU,
31700,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,OXALIDACEAE,Sarcotheca,Sarcotheca glomerula,(King) Veldkamp,,,,LC,
31701,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Cyathocalyx,Cyathocalyx scortechinii,(King) James Sincl.,,,,LR/cd,
31702,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Disepalum,Disepalum pulchrum,(King) J.Sinclair,,,,LC,
31703,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon congregatum,(King) B.Xue &amp; R.M.K.Saunders,,,,LC,
31704,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon cupulare,(King) B.Xue &amp; R.M.K.Saunders,,,,VU,
31705,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon macranthum,(King) B.Xue &amp; R.M.K.Saunders,,,,NT,
31706,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon praestigiosum,(J.Sinclair) B.Xue &amp; R.M.K.Saunders,,,,VU,
31707,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Goniothalamus,Goniothalamus calycinus,J.Sinclair,,,,DD,
31708,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Goniothalamus,Goniothalamus curtisii,King,,,,LC,
31709,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Goniothalamus,Goniothalamus holttumii,J.Sinclair,,,,DD,
31710,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Goniothalamus,Goniothalamus montanus,J.Sinclair,,,,VU,
31711,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Goniothalamus,Goniothalamus tenuifolius,King,,,,LC,
31712,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Mezzettia,Mezzettia herveyana,Oliver,,,,CR,
31713,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Miliusa,Miliusa amplexicaulis,Ridl.,,,,VU,
31714,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Orophea,Orophea hastata,King,,,,LC,
31715,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon glabrum,(Hook.f. &amp; Thomson) B.Xue &amp; R.M.K.Saunders,,,,CR,
31716,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Polyalthia,Polyalthia hirtifolia,J.Sinclair,,,,CR,
31717,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon hookerianum,(King) B.Xue &amp; R.M.K.Saunders,,,,LC,
31718,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon hypogaeum,(King) B.Xue &amp; R.M.K.Saunders,,,,LR/lc,
31719,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Popowia,Popowia pauciflora,Maingay ex Hook.f. &amp; Thomson,,,,DD,
31720,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Popowia,Popowia perakensis,King,,,,DD,
31721,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Pseuduvaria,Pseuduvaria cerina,J.Sinclair,,,,DD,
31722,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Pseuduvaria,Pseuduvaria galeata,J.Sinclair,,,,EN,
31724,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Pseuduvaria,Pseuduvaria taipingensis,J. Sincl.,,,,CR,
31725,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Trivalvaria,Trivalvaria nervosa,(Hook.f. &amp; Thomson) J.Sinclair,,,,LC,
31726,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Xylopia,Xylopia elliptica,Maingay ex Hook.f. &amp; Thomson,,,,VU,
31727,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Xylopia,Xylopia magna,Maingay ex Hook.f.,,,,LR/lc,
31728,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Kopsia,Kopsia profunda,Markgr.,,,,VU,
31729,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Kopsia,Kopsia scortechinii,King &amp; Gamble,,,,DD,
31730,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Tabernaemontana,Tabernaemontana polyneura,(King &amp; Gamble) D.J.Middleton,,,,LC,
31731,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,Ilex grandiflora,Ridl.,,,,LR/cd,
31732,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,Ilex illustris,Ridl.,,,,LR/cd,
31733,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,Ilex patens,Ridl.,,,,LR/cd,
31734,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,Ilex pauciflora,Ridl.,,,,EN,
31735,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,Ilex sclerophylla,Hook.f.,,,,LR/cd,
31736,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES,AQUIFOLIACEAE,Ilex,Ilex tahanensis,Kiew,,,,LR/cd,
31737,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Polyscias,Polyscias montana,(Ridl.) Lowry &amp; G.M.Plunkett,,,,LR/cd,
31738,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Brassaiopsis,Brassaiopsis minor,B.C.Stone,,,,VU,
31739,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Brassaiopsis,Brassaiopsis simplex,(King) B.C.Stone,,,,VU,
31740,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Durio,Durio macrophyllus,(King) Ridl.,,,,NT,Durian Daun Besar
31741,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Durio,Durio singaporensis,Ridl.,,,,LC,Durian Bujor
31742,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Kostermansia,Kostermansia malayana,Soegeng,,,,VU,Durian Tuang
31743,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Canarium,Canarium pseudosumatranum,Leenh.,,,,LR/cd,
31744,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Canarium,Canarium reniforme,Kochummen &amp; Whitmore,,,,LR/cd,
31745,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Dacryodes,Dacryodes breviracemosa,Kalkman,,,,VU,
31746,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Dacryodes,Dacryodes kingii,(Engl.) Kalkman,,,,LR/cd,
31747,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Dacryodes,Dacryodes multijuga,Leenh.,,,,VU,
31748,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Dacryodes,Dacryodes puberula,(A.W.Benn.) H.J.Lam,,,,VU,
31749,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CELASTRACEAE,Kokoona,Kokoona coriacea,King,,,,VU,
31750,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CELASTRACEAE,Kokoona,Kokoona sessilis,Ding Hou,,,,VU,
31751,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CELASTRACEAE,Microtropis,Microtropis tenuis,Symington,,,,VU,
31752,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,CLETHRACEAE,Clethra,Clethra hendersonii,Sleumer,,,,LR/cd,
31755,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,ANACARDIACEAE,Melanochyla,Melanochyla longipetiolata,Kochummen,,,,EN,
31756,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,ANACARDIACEAE,Melanochyla,Melanochyla fasciculiflora,Kochummen,,,,CR,
31757,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Cyathocalyx,Cyathocalyx sumatranus,Scheff.,,,,LC,
31758,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Kopsia,Kopsia singapurensis,Ridl.,,,,VU,White Kopsia
31759,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Dipterocarpus,Dipterocarpus sublamellatus,Foxw.,,,,EN,
31760,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Hopea,Hopea latifolia,Symington,,,,DD,
31761,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Hopea,Hopea montana,Symington,,,,NT,
31762,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Hopea,Hopea nervosa,King,,,,LC,
31763,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Hopea,Hopea nutans,Ridl.,,,,NT,
31765,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Parashorea,Parashorea globosa,Symington,,,,CR,White Seraya
31766,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,OXALIDACEAE,Sarcotheca,Sarcotheca monophylla,(Planch. ex Hk.f.) Hallier.f.,,,,LR/nt,
31767,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Heliciopsis,Heliciopsis cockburnii,Kochummen,,,,VU,
31768,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Heliciopsis,Heliciopsis montana,Symington ex Kochummen,,,,LR/cd,
31769,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Heliciopsis,Heliciopsis velutina,(Prain) Sleumer,,,,LC,
31770,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Heliciopsis,Heliciopsis whitmorei,Kochummen,,,,LR/cd,
31771,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,ANISOPHYLLEACEAE,Anisophyllea,Anisophyllea apetala,Scort. ex King,,,,VU,
31772,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,ANISOPHYLLEACEAE,Anisophyllea,Anisophyllea corneri,Ding Hou,,,,LC,
31773,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,ANISOPHYLLEACEAE,Anisophyllea,Anisophyllea curtisii,King,,,,VU,
31774,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,RHIZOPHORACEAE,Pellacalyx,Pellacalyx saccardianus,Scort.,,,,LC,
31775,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,CHRYSOBALANACEAE,Atuna,Atuna penangiana,(Kosterm. &amp; Prance) Kosterm.,,,,VU,
31776,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,CHRYSOBALANACEAE,Kostermanthus,Kostermanthus malayanus,(Kosterm.) Prance,,,,DD,
31777,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Prunus,Prunus malayana,Kalkman,,,,LC,
31778,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ROSACEAE,Prunus,Prunus odorata,(M.R.Hend.) Whitmore,,,,DD,
31779,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Melicope,Melicope macrocarpa,(King) T.G.Hartley,,,,LC,
31780,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Glycosmis,Glycosmis crassifolia,Ridl.,,,,LC,
31781,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Glycosmis,Glycosmis decipiens,B.C.Stone,,,,LR/cd,
31782,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Glycosmis,Glycosmis perakensis,V.Naray.,,,,DD,
31783,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Glycosmis,Glycosmis tomentella,Ridl.,,,,EN,
31784,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Tetractomia,Tetractomia majus,Hook.f.,,,,EN,
31785,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Madhuca,Madhuca aristulata,(King &amp; Gamble) H.J.Lam,,,,VU,
31786,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Madhuca,Madhuca cuprea,(King &amp; Gamble) H.J.Lam,,,,DD,
31787,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Madhuca,Madhuca longistyla,(King &amp; Gamble) H.J.Lam,,,,VU,
31788,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Madhuca,Madhuca obtusifolia,(King &amp; Gamble) P.Royen,,,,DD,
31789,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Madhuca,Madhuca penangiana,(King &amp; Gamble) H.J.Lam,,,,LR/cd,
31790,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Madhuca,Madhuca penicillata,(King &amp; Gamble) H.J.Lam,,,,VU,
31791,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Madhuca,Madhuca rufa,(King &amp; Gamble) P.Royen,,,,VU,
31792,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Payena,Payena selangorica,King &amp; Gamble,,,,LR/cd,
31793,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Madhuca,Madhuca sessiliflora,P.Royen,,,,VU,
31794,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Madhuca,Madhuca tomentosa,H.J.Lam,,,,LR/nt,
31795,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Madhuca,Madhuca tubulosa,H.J.Lam,,,,LR/cd,
31796,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Palaquium,Palaquium regina-montium,Ng,,,,VU,
31797,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Payena,Payena maingayi,C.B.Clarke,,,,VU,
31798,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Sterculia,Sterculia scortechinii,King,,,,VU,
31799,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,STYRACACEAE,Styrax,Styrax crotonoides,C.B.Clarke,,,,VU,
31800,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,STYRACACEAE,Styrax,Styrax fraserensis,Putz &amp; Ng,,,,VU,
31801,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SYMPLOCACEAE,Symplocos,Symplocos calycodactylos,Brand,,,,VU,
31802,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SYMPLOCACEAE,Symplocos,Symplocos nivea,Brand,,,,EN,
31803,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SYMPLOCACEAE,Symplocos,Symplocos pyriflora,Ridley,,,,LR/cd,
31804,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,PENTAPHYLACACEAE,Adinandra,Adinandra angulata,Ridley,,,,LR/cd,
31805,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,PENTAPHYLACACEAE,Adinandra,Adinandra corneriana,Kobuski,,,,VU,
31807,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,THEACEAE,Pyrenaria,Pyrenaria pahangensis,H.Keng,,,,DD,
31809,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,PENTAPHYLACACEAE,Ternstroemia,Ternstroemia evenia,(King) A.C. Smith,,,,LR/cd,
31810,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,THYMELAEACEAE,Aquilaria,Aquilaria rostrata,Ridl.,,,,CR,
31811,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Brownlowia,Brownlowia velutina,Kosterm.,,,,EN,
31812,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Diplodiscus,Diplodiscus hookerianus,(King) Kosterm.,,,,EN,
31813,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Diplodiscus,Diplodiscus scortechinii,(King) Ashton ex Kochummen,,,,EN,
31814,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pentace,Pentace excelsa,Kochummen,,,,LR/cd,
31815,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pentace,Pentace grandiflora,Kochummen,,,,LR/cd,
31816,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Pentace,Pentace microlepidota,Kosterm.,,,,VU,
31817,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Schoutenia,Schoutenia corneri,Roekm.,,,,EN,
31818,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,MALVACEAE,Schoutenia,Schoutenia furfuracea,Kochummen,,,,LR/cd,
31819,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,ACANTHACEAE,Avicennia,Avicennia lanata,Ridl.,,,,VU,
31820,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LAMIACEAE,Callicarpa,Callicarpa maingayi,King &amp; Gamble,,,,LC,
31821,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LAMIACEAE,Vitex,Vitex longisepala,King &amp; Gamble,,,,LC,
31822,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LAMIACEAE,Vitex,Vitex urceolata,C.B. Clarke,,,,VU,
31823,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,Memecylon,Memecylon cinereum,King,,,,DD,
31824,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,Memecylon,Memecylon wallichii,Ridl.,,,,VU,
31825,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Polyalthia,Polyalthia chrysotricha,Ridl.,,,,LC,
31826,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,Eugenia haniffii,M.R. Henderson,,,,VU,
31827,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,EBENACEAE,Diospyros,Diospyros nutans,King &amp; Gamble,,,,LR/lc,
31829,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Polyalthia,Polyalthia angustissima,Ridl.,,,,DD,
31830,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Popowia,Popowia fusca,King,,,,LC,
31831,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Hopea,Hopea apiculata,Symington,,,,EN,
31832,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Dipterocarpus,Dipterocarpus concavus,Foxw.,,,,VU,
31833,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,DIPTEROCARPACEAE,Shorea,Shorea ochrophloia,Strugnell ex Symington,,,,VU,Red Balau
31834,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Eugenia,Eugenia millsii,M.R. Henderson,,,,LR/nt,
31835,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,Memecylon,Memecylon floridum,Ridl.,,,,VU,
31836,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,Memecylon,Memecylon acuminatum var. acuminatum,,var.,acuminatum,,LR/cd,
